"filename", "language", "JavaScript JSX", "XML", "JavaScript", "PostCSS", "JSON", "Less", "Properties", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/CustomMultiCalendar/test.jsx", "JavaScript JSX", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 221
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/CustomSegmented/index.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/CustomTable/MemoTable.jsx", "JavaScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 101
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/CustomTable/index.jsx", "JavaScript JSX", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 188
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DatePicker/index.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DepartmentList/index.jsx", "JavaScript JSX", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 95
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DepartmentTooltip/index.jsx", "JavaScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DocumentTimeline/index.jsx", "JavaScript JSX", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 97
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DocumentTransportList/index.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/DuplicatedDocument/index.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 96
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ErrorTabElement/index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ExpandRowRoomDetail/index.jsx", "JavaScript JSX", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 10, 237
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ExternalReSchedule/index.jsx", "JavaScript JSX", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 212
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ExternalTransport/index.jsx", "JavaScript JSX", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 259
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/FileUploader/index.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/FlightList/index.jsx", "JavaScript JSX", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 161
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Form/index.jsx", "JavaScript JSX", 777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 23, 823
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/FormItemRender/index.jsx", "JavaScript JSX", 407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 442
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/GlobalLoadingIndicator/index.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/GroupLog/index.jsx", "JavaScript JSX", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 97
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/HTMLEditor/index.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 96
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/HasAdditionOptionSelect/index.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ItineraryOptionCard/index.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Loading/index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/LoadingOt/index.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/LocalError/index.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/MHighchart/index.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Map/index.jsx", "JavaScript JSX", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/MemoTable/index.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Modal/index.jsx", "JavaScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 76
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Pagination/index.jsx", "JavaScript JSX", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 156
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/PeolpeSelectionTable/index.jsx", "JavaScript JSX", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 151
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/PeopleProfile/index.jsx", "JavaScript JSX", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 231
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/PeopleSearch/index.jsx", "JavaScript JSX", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 245
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/PreviewOption/index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ProfileCalendar/index.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
